treated,post,treated_post,return_on_equity,tier_1_leverage_capital_ratio,tier_1_risk_based_capital_ratio,total_risk_based_capital_ratio,brokered_deposits_to_total_deposits,net_non_core_funding_dependence,core_deposits_as_of_total_assets,short_term_investments_as_of_total_assets,1_4_family_residential_loans,loans_to_individuals,commercial_industrial_loans,non_interest_expense_average_assets,efficiency_ratio,return_on_average_assets,net_interest_margin,noninterest_income_average_assets,CATE
0,0,0,-0.7220053978531681,-0.3894288281148566,-0.2406424825999275,0.3804606771925,-0.4159517272813416,-0.366138568218824,0.6008010263583188,-0.5536534193903841,2.2780486371371444,-0.5338130693686242,0.09327486829487085,-0.11052044995754823,0.8803454566928901,-0.5397325426560249,-0.45246000335447106,-0.1359944867245066,-1.2679233033195714
1,0,0,-0.17865920768407834,-0.3894288281148566,-1.5446083225704685,-1.1711055219831674,-0.5032043261801878,-0.4988521211124906,1.027902696379752,-1.0384679651623794,0.31101958011135783,-0.5758250012758165,-0.14317889627830396,-0.14844342151777737,-0.30260520286914105,-0.05971785198358899,0.3288592261387679,-0.24782573688282003,0.1980800014095123
1,0,0,0.4353774306957859,-0.3894288281148566,-0.6752977625901077,-0.6539167889246111,-0.520241815905998,0.1088123316917297,0.47713003686879746,-1.0103627741031334,0.934648343237102,-0.20310375922739266,-0.27966140009443785,-0.029256939471342815,-0.5971739441830064,0.18499551973177025,0.27098372765778744,0.0436132786812697,1.9152618934459364
1,0,0,-0.7136888745342534,-1.793793928466877,0.628668077380434,0.3804606771925,-0.623499329395757,0.04154655830726864,-1.0418623396121647,2.208384231957026,-0.7725353958196237,-0.8702676009672496,-1.5071346191287116,0.05742413838060975,2.2886645818315614,-0.8315061781627996,-1.1527535349743374,0.07411271054262787,-1.2679233033195714
0,0,0,-0.21053921373991782,0.3127537220611538,-0.6752977625901077,-0.6539167889246111,-0.54089331860395,-0.49067114867383993,0.923081188559637,-0.8501631850654305,0.544880366283512,-0.27743256183242515,0.8565337112921036,0.1874457551585386,0.054617842152753,0.015578570082675307,0.36358452522735635,-0.03771853961568564,-1.2679233033195714
0,0,0,-0.6291375541252879,-0.03833755302685114,-0.6752977625901077,-0.13672805586605488,-0.6188527412887178,-0.3520491156855923,0.7437812409725982,-0.9148051245016966,0.6825983848071139,-0.4031092812129149,0.5261938931384035,0.19828088989003267,0.9598322599045689,-0.4644361205897605,0.42724757355643506,-0.31221342636790966,0.1980800014095123
0,0,0,-0.2784574875110538,-1.4427026533788718,-1.1099530425802877,-0.6539167889246111,-0.6012989639954589,0.2642508080260928,-0.4382191827358016,0.562122665661686,1.094020138258126,-0.37617855563138136,-0.290962499136538,-0.09968531522605416,1.6752134888096701,-0.6244410174805723,-0.6492366981898056,-0.2037710019719693,-1.2679233033195714
0,0,0,2.438273463334395,2.4193013725891848,2.3672891973411545,2.4492156094267235,3.0555658762443527,1.939986662543042,-2.377417077407926,1.3631206108501999,-1.8508934653912237,2.7025419928495293,-1.9817807788969224,3.3513050967548037,-0.8393749092632962,3.5921586182302363,0.6298118182398678,4.198313663350734,1.9152618934459364
0,0,0,-0.6762645195991376,2.7703926476771894,2.801944477331335,2.4492156094267235,2.2935254266899316,-3.4399117128074126,-1.3871296745810517,2.544943894891498,-0.8210398551738481,-0.7668536147341608,0.7009262706354922,-1.2590447314959188,-2.8564694331172893,-0.1350142740498535,-1.644695272062673,-0.020774410803819865,-1.2679233033195714
0,0,0,-0.8107149799215909,1.717118822413174,1.4979786373607942,1.4148381433096124,0.4354064714417206,1.553662964051204,-0.8745157218642622,-0.861405261489129,-0.31693993831387113,0.43066598279136276,1.558940482524181,-0.2188717972724887,0.285597140897276,-0.4361999623149113,-0.12256966201288126,-0.2884916460312977,0.5559490720223949
1,0,0,0.10410258515901955,-0.3894288281148566,-0.6752977625901077,-0.6539167889246111,-0.4288589164675615,-0.5433929710562555,1.20720264396679,-1.004741735891284,1.0342557151252423,-0.39413237268573703,0.40362043429716254,-0.15927855624927142,0.37350019386077854,-0.2950191709406654,0.07420703282245296,-0.3833787673777455,0.1980800014095123
0,0,0,2.5436160920406468,0.6638449971491587,0.19401279739025323,0.8976494102510563,1.5438758787542821,1.3059612985476134,-1.0423220830675162,-0.3562144521991804,-1.84916116327143,2.70002845846192,-1.9730876257876147,0.18202818779279145,-2.116774593818027,1.9262252800141355,2.9795570565676828,-0.31221342636790966,1.9152618934459364
1,0,0,-1.04496372007102,-0.3894288281148566,0.19401279739025323,0.3804606771925,-0.578066023460263,-1.119697029512315,1.0044557801568312,-0.25011735595052637,0.9216560773386492,0.49170896077617193,-1.155931233512673,0.4854119602746252,1.1973575306782882,-0.6997374395468369,0.6413869179360636,-0.2546033884075663,0.5559490720223949
1,0,0,-0.41290794783350726,-0.7405201032028615,-0.2406424825999275,-0.13672805586605488,-0.623499329395757,0.898276172021521,-0.9853138946039448,1.284426075884311,1.2005567186254404,-0.8261012110135346,-0.3465986790361085,-0.0455096415685838,1.4610666895687972,-0.6620892285137047,-1.2279916829996123,0.17577748341382188,-1.2679233033195714
1,0,0,-0.46419317496681434,0.3127537220611538,0.19401279739025323,0.8976494102510563,-0.3875559110716579,-0.5788438516237419,0.9400916964076382,-0.8733499676893086,1.120870821114929,-0.6681076209352046,0.19237681374098053,-0.20803666254099462,0.35386227777318807,-0.1914865905995519,-0.02418131459521415,-0.3325463809421484,0.1980800014095123
1,0,0,-0.4711236110659097,-0.03833755302685114,-0.6752977625901077,-0.13672805586605488,-0.5496702072505794,-0.4952161333619793,0.8886004294082834,-0.8361105895358075,0.00180365172817607,-0.34852967736767365,0.7513465586694781,-0.09968531522605416,0.7073447673498268,-0.4456120150731944,-0.08784436292429282,-0.3020469490807902,0.1980800014095123
0,0,0,0.1720208589301558,-0.3894288281148566,-0.6752977625901077,-0.6539167889246111,-0.4417661056537814,-0.6633805668231323,0.6886120263304331,-0.2950856616453201,1.8016655541938669,-0.431835388499884,-0.33095100343935435,-0.040092074202836885,-0.27548617589103924,0.024990622840958373,0.10314478206294346,-0.054662668427551256,-1.2679233033195714
